{:process 2, :type :invoke, :f :write, :value 332561358365750009617119145348891047184133928129082723839564465562592115420332443637140299835414683896560514050533267489372135593095961942349594930870737242911512029323779830243442445469652006228352842727961407751297475677420357742936653993960011059538200436422827402922510511918084834977731913866170523504718518911321294408996723776028719790701964285846667259858470264133313629060866652398475212459882335709827804761910958471749827263053957968536620645405899773401908214020073837823684163233705195948561568064076336963506878388004850936034431294882332212060062470463288924063771927448677873140189637422840319532276233133747777830804209242215634279813189077762042483509840503052933263261137553001573478430955140798034160015517665202247232079260183521722306064707223959278396304888953383111682504029966798328026814164685866018410636427281183986523081769380433418351289419929681902270139374837782812975068928330759782811405195676083682694620697596077149878437265625807469441210039775953718744426228986850194397384872375261605}
{:process 4, :type :invoke, :f :write, :value 332561358365750009617119145348891047184133928129082723839564465562592115420332443637140299835414683896560514050533267489372135593095961942349594930870737242911512029323779830243442445469652006228352842727961407751297475677420357742936653993960011059538200436422827402922510511918084834977731913866170523504718518911321294408996723776028719790701964285846667259858470264133313629060866652398475212459882335709827804761910958471749827263053957968536620645405899773401908214020073837823684163233705195948561568064076336963506878388004850936034431294882332212060062470463288924063771927448677873140189637422840319532276233133747777830804209242215634279813189077762042483509840503052933263261137553001573478430955140798034160015517665202247232079260183521722306064707223959278396304888953383111682504029966798328026814164685866018410636427281183986523081769380433418351289419929681902270139374837782812975068928330759782811405195676083682694620697596077149878437265625807469441210039775953718744426228986850194397384872375261605}
{:process 1, :type :invoke, :f :write, :value 332561358365750009617119145348891047184133928129082723839564465562592115420332443637140299835414683896560514050533267489372135593095961942349594930870737242911512029323779830243442445469652006228352842727961407751297475677420357742936653993960011059538200436422827402922510511918084834977731913866170523504718518911321294408996723776028719790701964285846667259858470264133313629060866652398475212459882335709827804761910958471749827263053957968536620645405899773401908214020073837823684163233705195948561568064076336963506878388004850936034431294882332212060062470463288924063771927448677873140189637422840319532276233133747777830804209242215634279813189077762042483509840503052933263261137553001573478430955140798034160015517665202247232079260183521722306064707223959278396304888953383111682504029966798328026814164685866018410636427281183986523081769380433418351289419929681902270139374837782812975068928330759782811405195676083682694620697596077149878437265625807469441210039775953718744426228986850194397384872375261605}
{:process 3, :type :invoke, :f :write, :value 332561358365750009617119145348891047184133928129082723839564465562592115420332443637140299835414683896560514050533267489372135593095961942349594930870737242911512029323779830243442445469652006228352842727961407751297475677420357742936653993960011059538200436422827402922510511918084834977731913866170523504718518911321294408996723776028719790701964285846667259858470264133313629060866652398475212459882335709827804761910958471749827263053957968536620645405899773401908214020073837823684163233705195948561568064076336963506878388004850936034431294882332212060062470463288924063771927448677873140189637422840319532276233133747777830804209242215634279813189077762042483509840503052933263261137553001573478430955140798034160015517665202247232079260183521722306064707223959278396304888953383111682504029966798328026814164685866018410636427281183986523081769380433418351289419929681902270139374837782812975068928330759782811405195676083682694620697596077149878437265625807469441210039775953718744426228986850194397384872375261605}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 0, :type :ok, :f :read, :value 358303433962878380104315290347385237783079478216548980721766696139129448586439283193366452223057281126284847987497825491835142061293813417208177852413796200618758131675617454139590861702775840875944408243876836034207606100380896248082561266090632394924252452078808256395214489630152799034453255273824366906079006495390955592019524070691290302041703898568871943543622961101528898179256235349906288477707151950970015830384596314373053960076385386091249899542982389887104934482203328417384872020910623218677099442285143722925236410733610531475815559021345068801804187331490184651663719515398590108131292400866944525478229298230043364504812607071720562684407401959301982145062156102660022962279100410757455691523902024413930863014189045526678079491835128215716146142824602421560955688421194911747929480844921138896851990603787491651858262575386261360343931692058355102351019636064218521690118143685831242107903336309670903717297881125557250785545604894187137837949614459440196686368786591274198051616870082670406294145285796711}
{:process 4, :type :ok, :f :write, :value 332561358365750009617119145348891047184133928129082723839564465562592115420332443637140299835414683896560514050533267489372135593095961942349594930870737242911512029323779830243442445469652006228352842727961407751297475677420357742936653993960011059538200436422827402922510511918084834977731913866170523504718518911321294408996723776028719790701964285846667259858470264133313629060866652398475212459882335709827804761910958471749827263053957968536620645405899773401908214020073837823684163233705195948561568064076336963506878388004850936034431294882332212060062470463288924063771927448677873140189637422840319532276233133747777830804209242215634279813189077762042483509840503052933263261137553001573478430955140798034160015517665202247232079260183521722306064707223959278396304888953383111682504029966798328026814164685866018410636427281183986523081769380433418351289419929681902270139374837782812975068928330759782811405195676083682694620697596077149878437265625807469441210039775953718744426228986850194397384872375261605}
{:process 2, :type :ok, :f :write, :value 332561358365750009617119145348891047184133928129082723839564465562592115420332443637140299835414683896560514050533267489372135593095961942349594930870737242911512029323779830243442445469652006228352842727961407751297475677420357742936653993960011059538200436422827402922510511918084834977731913866170523504718518911321294408996723776028719790701964285846667259858470264133313629060866652398475212459882335709827804761910958471749827263053957968536620645405899773401908214020073837823684163233705195948561568064076336963506878388004850936034431294882332212060062470463288924063771927448677873140189637422840319532276233133747777830804209242215634279813189077762042483509840503052933263261137553001573478430955140798034160015517665202247232079260183521722306064707223959278396304888953383111682504029966798328026814164685866018410636427281183986523081769380433418351289419929681902270139374837782812975068928330759782811405195676083682694620697596077149878437265625807469441210039775953718744426228986850194397384872375261605}
{:process 1, :type :ok, :f :write, :value 332561358365750009617119145348891047184133928129082723839564465562592115420332443637140299835414683896560514050533267489372135593095961942349594930870737242911512029323779830243442445469652006228352842727961407751297475677420357742936653993960011059538200436422827402922510511918084834977731913866170523504718518911321294408996723776028719790701964285846667259858470264133313629060866652398475212459882335709827804761910958471749827263053957968536620645405899773401908214020073837823684163233705195948561568064076336963506878388004850936034431294882332212060062470463288924063771927448677873140189637422840319532276233133747777830804209242215634279813189077762042483509840503052933263261137553001573478430955140798034160015517665202247232079260183521722306064707223959278396304888953383111682504029966798328026814164685866018410636427281183986523081769380433418351289419929681902270139374837782812975068928330759782811405195676083682694620697596077149878437265625807469441210039775953718744426228986850194397384872375261605}
{:process 3, :type :ok, :f :write, :value 332561358365750009617119145348891047184133928129082723839564465562592115420332443637140299835414683896560514050533267489372135593095961942349594930870737242911512029323779830243442445469652006228352842727961407751297475677420357742936653993960011059538200436422827402922510511918084834977731913866170523504718518911321294408996723776028719790701964285846667259858470264133313629060866652398475212459882335709827804761910958471749827263053957968536620645405899773401908214020073837823684163233705195948561568064076336963506878388004850936034431294882332212060062470463288924063771927448677873140189637422840319532276233133747777830804209242215634279813189077762042483509840503052933263261137553001573478430955140798034160015517665202247232079260183521722306064707223959278396304888953383111682504029966798328026814164685866018410636427281183986523081769380433418351289419929681902270139374837782812975068928330759782811405195676083682694620697596077149878437265625807469441210039775953718744426228986850194397384872375261605}
